from_tower,to_tower,timestamp,distance_km,time_hours,speed_kmh
CELL-4969,CELL-7820,2025-02-21 00:30:52,857.675104802364,27.72,30.94066034640563
CELL-7820,CELL-0910,2025-02-22 04:14:04,1007.9196369427988,0.7105555555555556,1418.495188817074
CELL-0910,CELL-8443,2025-02-22 04:56:42,1734.6566085918816,19.700277777777778,88.0523933803919
CELL-8443,CELL-5703,2025-02-23 00:38:43,1914.8073929490556,2.345,816.5489948610044
CELL-5703,CELL-5400,2025-02-23 02:59:25,2219.888440058198,5.089166666666666,436.1988092467394
CELL-5400,CELL-6498,2025-02-23 08:04:46,1332.22199714543,7.203888888888889,184.9309473942912
CELL-6498,CELL-1900,2025-02-23 15:17:00,1952.94342069873,3.7280555555555557,523.8504071615698
CELL-1900,CELL-6015,2025-02-23 19:00:41,1739.6701534886115,14.180277777777778,122.6823748273032
CELL-6015,CELL-7820,2025-02-24 09:11:30,1101.5893550254473,9.479444444444445,116.20821889736887
CELL-7820,CELL-9022,2025-02-24 18:40:16,2460.230643574121,0.6022222222222222,4085.25383619319
CELL-9022,CELL-2135,2025-02-24 19:16:24,1151.6941949114955,2.2055555555555557,522.1787281714589
CELL-2135,CELL-2824,2025-02-24 21:28:44,2573.7943892319627,4.690833333333333,548.6859596870413
CELL-2824,CELL-5400,2025-02-25 02:10:11,1533.609509225088,18.949444444444445,80.93163436644751
CELL-5400,CELL-9505,2025-02-25 21:07:09,1062.1512683313003,44.03111111111111,24.12274506657339
